GEOID,sovi,rank
g22127,0.22287142420637224,660.0
g23001,-0.10657133199520777,2121.0
g23003,0.18394575672231436,800.0
g23005,-0.3663704918087298,2804.0
g23007,0.11870444653861698,1055.0
g23009,-0.07924584422284266,2006.0
g23011,-0.10891930018311542,2130.0
g23013,-0.06372145465078526,1929.0
g23015,-0.05641585755568065,1893.0
g23017,0.056163122260006276,1347.0
g23019,-0.11283925512846932,2145.0
g23021,0.2184425231529208,674.0
g23023,-0.22494828053017582,2486.0
g23025,0.052255925254463195,1373.0
g23027,-0.022725986543057193,1737.0
g23029,0.25074451201483144,577.0
g23031,-0.2584682063398397,2570.0
g24001,0.07604387465781373,1254.0
g24003,-0.7630026114446917,3098.0
g24005,-0.36801816302646023,2805.0
g24009,-0.7759588676785858,3104.0
g24011,-0.14003787041672053,2240.0
g24013,-0.6313571584444179,3047.0
g24015,-0.4014501188396051,2859.0
g24017,-0.69601743504609,3073.0
g24019,0.11637404979405896,1072.0
g24021,-0.7063286829962376,3080.0
g24023,-0.02483677600053645,1750.0
g24025,-0.5957310888848332,3025.0
g24027,-1.1367191877037892,3140.0
g24029,0.07089878970385419,1281.0
g24031,-0.8169169183940662,3113.0
g24033,-0.3326413879236283,2742.0
g24035,-0.614846712605335,3040.0
g24037,-0.6794266098727135,3068.0
g24039,0.11440450618604514,1085.0
g24041,-0.1052027138165937,2114.0
g24043,-0.2238187096731088,2483.0
g24045,-0.07839604357096018,2001.0
g24047,0.03230895852734883,1456.0
g24510,0.3776268342134516,289.0
g25001,-0.09786571560717655,2090.0
g25003,0.02905452470997208,1469.0
g25005,-0.09644089856114031,2083.0
g25007,-0.30430880489306034,2683.0
g25009,-0.2870076629653984,2651.0
g25011,-0.23640059819734147,2518.0
g25013,0.1559274477537811,913.0
g25015,-0.41099348578402783,2870.0
g25017,-0.7102709978572898,3082.0
g25019,-0.8962054967680846,3125.0
g25021,-0.7199261200902635,3086.0
g25023,-0.45139123445975066,2914.0
g25025,0.06338203019546917,1312.0
g25027,-0.3533582164704511,2784.0
g26001,0.519953105362807,128.0
g26003,0.21532921949709524,685.0
g26005,-0.2438532650305798,2534.0
g26007,0.08418170020207916,1214.0
g26009,0.1389341499251798,979.0
g26011,0.23234386060965634,631.0
g26013,0.281468314796291,492.0
g26015,-0.300833322197961,2676.0
g26017,0.01868287142562569,1532.0
g26019,0.08490657262057072,1206.0
g26021,0.05982918206547648,1321.0
g26023,-0.047356316086677425,1844.0
g26025,0.03587903157519233,1431.0
g26027,-0.10167042266637663,2105.0
g26029,-0.062262459500586134,1925.0
g26031,0.20562852761958555,720.0
g26033,-0.027361803563442477,1767.0
g26035,0.37931986544150986,287.0
g26037,-0.3556454413782847,2789.0
g26039,0.26605391736105327,537.0
g26041,0.08102921082911166,1225.0
g26043,-0.04329950396979866,1833.0
g26045,-0.260496289037754,2579.0
g26047,-0.17105139886764228,2359.0
g26049,0.07859100944340064,1237.0
g26051,0.26073723127655346,546.0
g26053,0.24000622285403342,603.0
g26055,-0.24762695943265156,2546.0
g26057,0.0006874876066821425,1613.0
g26059,-0.018538489989266372,1717.0
g26061,-0.08408430044680157,2025.0
g26063,0.1572612248226207,908.0
g26065,-0.19999044896004217,2426.0
g26067,-0.22115914679079435,2475.0
g26069,0.47633996739546075,158.0
g26071,0.45247866714968266,187.0
g26073,-0.05669646318219182,1896.0
g26075,-0.08126171617407682,2015.0
g26077,-0.2203033428669629,2472.0
g26079,0.07386031222227335,1269.0
g26081,-0.2379767890798608,2520.0
g26083,0.25539705798873635,559.0
g26085,0.6715417148360654,65.0
g26087,-0.28446659746152725,2647.0
g26089,-0.08280328849635908,2021.0
g26091,-0.06930907775476786,1953.0
g26093,-0.6019684794662046,3033.0
g26095,0.13979239463658535,976.0
g26097,0.3442996505296509,343.0
g26099,-0.18089138882277767,2385.0
g26101,0.13394621760113018,1000.0
g26103,-0.09992771535989815,2098.0
g26105,0.1295731196034002,1018.0
g26107,-0.018026924871401548,1715.0
g26109,0.07927985589701825,1234.0
g26111,-0.33507524015723916,2748.0
g26113,0.031315765414217295,1459.0
g26115,-0.22983718296736327,2498.0
g26117,-0.09279871374127695,2064.0
g26119,0.5567323370206374,105.0
g26121,0.05364459969185348,1362.0
g26123,-0.003398623333239731,1631.0
g26125,-0.494457006208712,2954.0
g26127,0.24117750860937942,598.0
g26129,0.4534896978899393,185.0
g26131,0.3573912437321829,314.0
g26133,0.13901410814116347,978.0
g26135,0.4980849874312865,141.0
g26137,-0.015360790034402383,1700.0
g26139,-0.40352361020330996,2861.0
g26141,0.29343841334049486,456.0
g26143,0.5536672811065899,107.0
g26145,0.12574764826294507,1030.0
g26147,-0.11641013866747907,2159.0
g26149,-0.04283099358814381,1829.0
g26151,0.03466855081073625,1439.0
g26153,0.3491258326856802,331.0
g26155,-0.09912022934795939,2097.0
g26157,0.031204228664909083,1460.0
g26159,0.03736218409132744,1429.0
g26161,-0.5577740191040101,2995.0
g26163,0.2076713724197692,707.0
g26165,4.9194838850859235e-05,1616.0
g27001,0.3023749145451208,430.0
g27003,-0.5992829563789523,3030.0
g27005,-0.0737564844279667,1977.0
g27007,-0.017262586468657748,1710.0
g27009,-0.2694809268310845,2604.0
g27011,0.23555549643009083,621.0
g27013,-0.3589443873681083,2794.0
g27015,-0.1359748002691368,2233.0
g27017,-0.18545073029738796,2392.0
g27019,-0.8307184566626601,3117.0
g27021,0.09544452504625861,1164.0
g27023,-0.053363124601916334,1880.0
g27025,-0.5225100951895734,2970.0
g27027,-0.292114165733405,2659.0
g27029,0.08975357817609081,1185.0
g27031,-0.001733097905685932,1624.0
g27033,0.06979755215396363,1286.0
g27035,-0.07094388112592195,1965.0
g27037,-0.6450146103382464,3052.0
g27039,-0.4055627524036997,2867.0
g27041,-0.18526318274855536,2391.0
g27043,0.017095446807544296,1541.0
g27045,-0.026395119242400483,1760.0
g27047,0.054397915585096004,1360.0
g27049,-0.2538228100336037,2563.0
g27051,0.07522293260247756,1258.0
g27053,-0.5087580194393376,2959.0
g27055,-0.15875179949174806,2314.0
g27057,-0.0030048671785708504,1629.0
g27059,-0.41305354170853265,2874.0
g27061,-0.01565025079662566,1703.0
g27063,-0.18577128853824912,2393.0
g27065,-0.10843163369074113,2129.0
g27067,-0.12978624207580253,2208.0
g27069,0.03897775291656821,1424.0
g27071,0.03463833178465128,1440.0
g27073,-0.04262192609535764,1827.0
g27075,0.07419868846572547,1266.0
g27077,-0.06864215479092756,1949.0
g27079,-0.3243805266707336,2727.0
g27081,0.04323795299260752,1410.0
g27083,-0.2384642686945886,2521.0
g27085,-0.32358211763688755,2725.0
g27087,0.51351513261556,133.0
g27089,-0.17750958654251578,2377.0
g27091,-0.0645132067083326,1931.0
g27093,-0.25866023933985205,2572.0
g27095,-0.06097449599803255,1918.0
g27097,-0.14051022766803647,2243.0
g27099,-0.008484416723302163,1667.0
g27101,-0.009460027732230356,1671.0
g27103,-0.4265455234469727,2888.0
g27105,0.09624168224543889,1160.0
g27107,0.1109337420190711,1101.0
g27109,-0.47934555763427156,2941.0
g27111,-0.005046409818514522,1641.0
g27113,-0.1868640253496588,2395.0
g27115,-0.07008828198296731,1960.0
g27117,0.09156469408414222,1180.0
g27119,-0.06986186499154166,1957.0
g27121,-0.12334410307346598,2193.0
g27123,-0.24583542335537456,2540.0
g27125,-0.1588364955805743,2316.0
g27127,-0.053032001139984436,1879.0
g27129,-0.05130711767069408,1866.0
g27131,-0.35037065314067833,2777.0
g27133,-0.038566294861797745,1807.0
g27135,-0.30457433916294224,2684.0
g27137,-0.07366622382836693,1975.0
g27139,-0.8126917916259494,3112.0
g27141,-0.6377700310343253,3049.0
g27143,-0.16537260531268935,2335.0
g27145,-0.3783517505923713,2824.0
g27147,-0.2784585516502923,2631.0
g27149,-0.24084058006652626,2528.0
g27151,-0.04737567189711779,1845.0
g27153,-0.05060112898474264,1861.0
g27155,0.11717651456906669,1067.0
g27157,-0.23551549048344184,2514.0
g27159,0.17333840160753555,835.0
g27161,-0.24895561504538266,2552.0
g27163,-0.7558838168478608,3096.0
g27165,0.045168427329726604,1400.0
g27167,-0.15864990937647977,2313.0
g27169,-0.25037187344899337,2555.0
g27171,-0.6248405929156557,3042.0
g27173,-0.03902183763565603,1812.0
g28001,0.3983784862756046,253.0
g28003,0.1261575340984992,1029.0
g28005,0.41576990268121294,230.0
g28007,0.4605558741112385,179.0
g28009,0.15799681744327826,901.0
g28011,0.5058233558230802,137.0
g28013,0.36738970160495815,299.0
g28015,0.3298333107934197,373.0
g28017,0.3864575558854536,273.0
g28019,0.30274121062129544,429.0
g28021,0.6029846354202569,82.0
g28023,0.2488428026309775,580.0
g28025,0.29304113196897935,459.0
g28027,0.7265185098469712,45.0
g28029,0.18919771859231144,775.0
g28031,0.2682446843777817,531.0
g28033,-0.37493027752253216,2820.0
g28035,0.04372356441464821,1409.0
g28037,0.22474410834432518,655.0
g28039,-0.2158050812525985,2458.0
g28041,-0.1318593784798197,2217.0
g28043,0.28909924895368366,472.0
g28045,-0.0819508704507749,2017.0
g28047,-0.08024114803672086,2010.0
g28049,0.14329732823388414,958.0
g28051,0.7334567879087888,43.0
g28053,0.7958925782036365,27.0
g28055,0.3062801822165417,420.0
g28057,-0.032304561633568374,1785.0
g28059,-0.15526238727441977,2300.0
g28061,0.2808744066693777,494.0
g28063,0.7777953943192688,36.0
g28065,0.3609171067587943,306.0
g28067,0.10598213052127273,1122.0
g28069,0.5111379672889979,134.0
g28071,-0.2346383985874803,2512.0
g28073,-0.3790962811439489,2825.0
g28075,0.17909836749664726,814.0
g28077,0.04913565407855214,1388.0
g28079,0.2904792364010652,471.0
g28081,-0.004418952759574199,1635.0
g28083,0.6975695766108267,52.0
g28085,0.1312665298089985,1008.0
g28087,0.11868218414791158,1056.0
g28089,-0.4739639974910335,2938.0
g28091,0.27311722478717176,511.0
g28093,0.22711052549180177,647.0
g28095,0.21342639715929992,692.0
g28097,0.46738208568888523,171.0
g28099,0.32900255098661846,376.0
g28101,0.16417866898037242,877.0
g28103,0.6701991525755261,67.0
g28105,-0.1574483934451126,2308.0
g28107,0.3040598456105793,424.0
g28109,-0.011641711822704709,1684.0
g28111,0.05502526431284155,1355.0
g28113,0.2914141526166683,467.0
g28115,0.057105151638932206,1342.0
g28117,0.19721514885771183,748.0
g28119,0.6689762840054992,68.0
g28121,-0.35251024835868994,2780.0
g28123,0.2516120131241939,573.0
g28125,0.8888299992484804,16.0
g28127,0.21316831669245526,694.0
g28129,0.12753376444988443,1024.0
g28131,-0.09075500763310629,2060.0
g28133,0.4152830931902212,231.0
g28135,0.5864705867498974,88.0
g28137,-0.011250596905712812,1681.0
g28139,0.11450571478644683,1084.0
g28141,0.22950485585649377,642.0
g28143,0.5034102245255231,138.0
g28145,0.04745320586745749,1393.0
g28147,0.2745032218186319,507.0
g28149,0.1594411149469297,897.0
g28151,0.6004864420946927,83.0
g28153,0.18560485288784365,790.0
g28155,0.17515020057093994,832.0
g28157,0.430904948310453,211.0
g28159,0.3314635146337138,364.0
g28161,0.3506891267165539,327.0
g28163,0.3799392233597501,284.0
g29001,-0.046444916274564374,1841.0
g29003,-0.23292154365408135,2507.0
g29005,-0.039362733777531106,1814.0
g29007,0.15835645294072748,900.0
g29009,0.09967580621220222,1149.0
g29011,0.014082573824684655,1551.0
g29013,0.024412355364093474,1496.0
g29015,0.38469664522748814,277.0
g29017,0.05515118655875795,1354.0
g29019,-0.4399709196155671,2900.0
g29021,-0.02654906650271878,1761.0
g29023,0.25161582535752286,572.0
g29025,-0.025593811345515752,1754.0
g29027,-0.2863240521011369,2650.0
g29029,0.18465741733786778,794.0
g29031,-0.11688543357903791,2162.0
g29033,0.019317822722095663,1527.0
g29035,0.40361363650553406,248.0
g29037,-0.3551011916509609,2787.0
g29039,0.24835108107008935,581.0
g29041,0.2534986264627385,566.0
g29043,-0.35957830540092683,2795.0
g29045,0.04068392730911076,1418.0
g29047,-0.41025354758476057,2869.0
g29049,-0.16797157929657824,2347.0
g29051,-0.27003405470253045,2605.0
g29053,-0.09381957564114746,2072.0
g29055,0.1569493179543411,909.0
g29057,0.1773106062174268,827.0
g29059,0.05053910867728097,1383.0
g29061,0.021803320077930944,1511.0
g29063,-0.3063932179482925,2687.0
g29065,0.22418600652607903,656.0
g29067,0.19788629334504962,742.0
g29069,0.4825247650118814,155.0
g29071,-0.21282616284933137,2452.0
g29073,0.12140665966242307,1043.0
g29075,0.23158406753484745,636.0
g29077,-0.13231471480986662,2220.0
g29079,0.19627866759755436,752.0
g29081,0.1383041334469348,981.0
g29083,0.11436644530240579,1086.0
g29085,0.5779911719679387,92.0
g29087,0.1203854065174444,1048.0
g29089,0.03564026311413399,1433.0
g29091,0.14707970718823465,942.0
g29093,0.39164896365487994,261.0
g29095,-0.06897754081889411,1951.0
g29097,0.017748482895130188,1537.0
g29099,-0.3229963798864428,2723.0
g29101,-0.3133756819070279,2704.0
g29103,0.16508043909465478,874.0
g29105,0.02351022582058704,1499.0
g29107,-0.13481116127065568,2225.0
g29109,0.08000824598457203,1230.0
g29111,0.07213055895858086,1274.0
g29113,-0.2850013777033142,2648.0
g29115,0.1494752650365557,934.0
g29117,0.24649116003949378,585.0
g29119,0.08050347898140431,1228.0
g29121,0.20538783489114348,722.0
g29123,0.2523294070699702,570.0
g29125,0.02329544326512497,1500.0
g29127,0.10259617436779653,1138.0
g29129,0.24172235344507342,597.0
g29131,0.09237458334013639,1177.0
g29133,0.3448069897245402,342.0
g29135,-0.1353817512180618,2229.0
g29137,0.13990730107131688,975.0
g29139,0.1671781760802887,867.0
g29141,0.3709659397706712,293.0
g29143,0.39693156517477346,254.0
g29145,-0.07576059606006677,1989.0
g29147,-0.13525294906787522,2228.0
g29149,0.2965538911711079,444.0
g29151,-0.2765754444124584,2628.0
g29153,0.3873171502827152,268.0
g29155,0.5585466389949731,103.0
g29157,-0.16118208802362524,2322.0
g29159,-0.0011543864958551836,1623.0
g29161,-0.1512066127933219,2281.0
g29163,0.03334351710079977,1449.0
g29165,-0.590976741665214,3023.0
g29167,0.019395457084422002,1526.0
g29169,-0.4526486999532268,2917.0
g29171,0.12015658889115842,1049.0
g29173,-0.13571687836899715,2232.0
g29175,-0.03200355586313268,1781.0
g29177,-0.16841320576686603,2349.0
g29179,0.46424504389281096,175.0
g29181,0.3880242148493078,267.0
g29183,-0.5877005515418159,3021.0
g29185,0.34767613924664736,338.0
g29186,-0.1860671371718635,2394.0
g29187,-0.011154521857949174,1680.0
g29189,-0.29260253983299606,2661.0
g29195,0.15161541192906686,927.0
g29197,0.2729612818823203,512.0
g29199,0.10727412989807072,1116.0
g29201,0.15881151115390005,899.0
g29203,0.17180501062116288,839.0
g29205,0.16083764161204941,889.0
g29207,0.12903074328114728,1019.0
g29209,0.3339770128448836,360.0
g29211,0.268255569909932,530.0
g29213,0.21407888908849004,689.0
g29215,0.17020015001779742,846.0
g29217,0.27081509947797616,520.0
g29219,-0.14477043859368138,2259.0
g29221,0.2084391109110563,706.0
g29223,0.3866819041715793,272.0
g29225,-0.11270444985879763,2142.0
g29227,0.23555105089052844,622.0
g29229,0.24537870962410627,587.0
g29510,0.2997652393086166,438.0
g30001,-0.17056040437302053,2357.0
g30003,0.3797060466597671,286.0
g30005,0.3349704682866249,358.0
g30007,-0.22799372434153004,2492.0
g30009,-0.13236988277289174,2221.0
